label	category	correction
1	Semantics	The sentence is already correct.
1	Semantics	The sentence is already correct.
0	Semantics	The mechanical doll wriggled loose.
0	Semantics	The sentence is already correct.
0	Semantics	The more you eat, the less you want.
0	Semantics	The more you want, the less you would eat.
0	Morphology	I demand that the more John eats, the more he pays.
0	Syntax	Mary listens to the Grateful Dead and gets depressed.
0	Semantics	The angrier Mary got, the more she looked at picture.
1	Semantics	The sentence is already correct.
1	Semantics	The sentence is already correct.
0	Morphology	John was much more obnoxious than Fred.
1	Semantics	The sentence is already correct.
0	Morphology	The more Bill smokes, the more Susan hates him.
1	Semantics	The sentence is already correct.
0	Semantics	Every senator seems to become more corrupt as they talk to more lobbyists.
0	Syntax	Who does John visit because he likes Sally?
1	Semantics	The sentence is already correct.
1	Semantics	The sentence is already correct.
0	Morphology	He cannot have been working.
0	Semantics	You will believe Bob. (The sentence is already correct.)
1	Semantics	The sentence is already correct.
1	Semantics	The sentence is already correct.
0	Morphology	Mickey looked it up.
1	Semantics	The sentence is already correct.
1	Semantics	The sentence is already correct.
1	Semantics	The sentence is already correct.
1	Semantics	The sentence is already correct.
1	Semantics	The sentence is already correct.
0	Syntax	Gas escaped from the tube.
1	Semantics	The sentence is already correct.
1	Semantics	The sentence is already correct.
0	Morphology	What the water did to the bottle was fill filling it.
0	Morphology	What the water did to the whole bottle was fill it.
0	Semantics	The tank leaked the fluid.
0	Morphology	John laid the ball in the box.
1	Semantics	The sentence is already correct.
1	Semantics	The sentence is already correct.
0	Syntax	Most people probably consider Klaus guilty of murder, even though the courts didn't actually find him guilty.
0	Semantics	Mary plays the violin beautifully.
0	Semantics	The sentence is already correct.
0	Syntax	Sue gave Bill a book.
1	Semantics	The sentence is already correct.
1	Semantics	The sentence is already correct.
0	Syntax	They represented Mary to the dean as a serious and genuine linguist.
0	Morphology	We love them.
1	Semantics	The sentence is already correct.
1	Semantics	The sentence is already correct.
1	Semantics	The sentence is already correct.
1	Semantics	The sentence is already correct.
0	Morphology	John wants to read Fred's story, and I do, too.
0	Semantics	We wanted to invite someone, but we couldn't decide who to invite.
1	Semantics	The sentence is already correct.
0	Syntax	Mary claimed that Holly shouldn't eat cabbage.
0	Semantics	Mary came to be introduced by the bartender, and I also came to be introduced.
